StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,ESL_Screener,Aut_Group,Consent_Proceed,Age,Demographics_Ed,Q3,Q3_3_TEXT,Q4,Q5,Q5_7_TEXT,Q6,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q24_16,Q24_17,Q24_18,Q24_19,Q24_20,Q62,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q26,Q61,Q29,Q29_6_TEXT,Q30,Q1,Q2,Q3,Q4,Q5,Q6,Q7,PROLIFIC_PID,SESSION_ID,STUDY_ID,LIST_ID,Prac,feedback
2024-06-25 12:54:12,2024-06-25 12:59:07,IP Address,104.52.136.24,100,294,True,2024-06-25 12:59:07,R_1XoAuGBXkYKF3Vv,,,,,30.4042,-91.1431,anonymous,EN,test,Yes,No,"Yes, I give consent",34,Doctoral,Male,,"Above $175,000",Nat. Amer.,,non-Hispanic,Sometimes,Frequently,Sometimes,Always,Frequently,Frequently,Always,Sometimes,Always,Always,Sometimes,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,,Sometimes,Frequently,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,,I am right-handed.,,,,Somewhat true,Not true,Somewhat true,Not true,Certainly true,Not true,Not true,,,,28,1,1
2024-06-26 16:05:39,2024-06-26 16:06:00,IP Address,71.203.88.55,100,21,True,2024-06-26 16:06:01,R_1GpphAr3kObEBtH,,,,,28.8554,-81.6873,anonymous,EN,65c16283a0cb3e89054d2f68,Yes,"No, but I identify as being on the autism spectrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65c16283a0cb3e89054d2f68,667c82985625e71fc3145171,6675e9e612bd2a2af68bed70,,,
2024-06-26 16:14:54,2024-06-26 16:24:09,IP Address,216.137.214.130,100,554,True,2024-06-26 16:24:10,R_1DnGCNASwnm53Br,,,,,61.5883,-149.3959,anonymous,EN,62dc4a5fef307ee53c61afcc,Yes,No,"Yes, I give consent",31,High School,Male,,"$20,001 - $40,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Never,Frequently,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Frequently,Sometimes,Frequently,,Never,Never,Never,Never,Sometimes,Frequently,Never,Never,Sometimes,Sometimes,Looking further ahead rather than what is right in front of you.,I am right-handed.,,,,Certainly true,Certainly true,Certainly true,Not true,Somewhat true,Not true,Somewhat true,62dc4a5fef307ee53c61afcc,667c84c11952af4f6e650f5f,6675e9e612bd2a2af68bed70,100,1,1
2024-06-26 17:04:13,2024-06-26 17:09:44,IP Address,172.59.153.189,100,331,True,2024-06-26 17:09:46,R_1238Iktie8yOKBa,,,,,40.65,-112.0061,anonymous,EN,65ff4bf3f2c135d2aeca37f8,Yes,No,"Yes, I give consent",32,Bachelor,Male,,"$75,001 - $150,000",Nat. Amer.,,non-Hispanic,Never,Sometimes,Never,Never,Frequently,Never,Sometimes,Never,Frequently,Never,Frequently,Never,Never,Sometimes,Sometimes,Never,Never,Frequently,Sometimes,Sometimes,Never,Frequently,Sometimes,Frequently,Never,Sometimes,Never,Frequently,Never,Sometimes,,Frequently,Never,Sometimes,Never,Sometimes,Frequently,Sometimes,Never,Never,Sometimes,,I am right-handed.,,,,Somewhat true,Somewhat true,Not true,Not true,Not true,Somewhat true,Not true,65ff4bf3f2c135d2aeca37f8,667c9056a42fc7abc754bae1,6675e9e612bd2a2af68bed70,148,1,1
2024-06-26 17:04:40,2024-06-26 17:10:10,IP Address,24.253.7.95,100,329,True,2024-06-26 17:10:10,R_3OTLRzmu0NUVPhc,,,,,35.9854,-115.1193,anonymous,EN,663ae85d732ab012a4fc48ba,Yes,No,"Yes, I give consent",21,Some college,Male,,"$75,001 - $150,000",Asian,,non-Hispanic,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Frequently,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,,I am right-handed.,,,,Somewhat true,Somewhat true,Not true,Not true,Somewhat true,Not true,Not true,663ae85d732ab012a4fc48ba,667c9070b40cdd26ad0dd814,6675e9e612bd2a2af68bed70,80,1,1
2024-06-26 17:05:13,2024-06-26 17:12:38,IP Address,98.10.85.40,100,444,True,2024-06-26 17:12:38,R_6KBGfHYDvXYkJlf,,,,,42.7368,-78.8358,anonymous,EN,650764c3a197814ab15f8237,Yes,No,"Yes, I give consent",21,Some college,Male,,"$75,001 - $150,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Frequently,Never,Never,Frequently,Frequently,Frequently,,Always,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,I do not really  do any.,I am right-handed.,,,,Not true,Somewhat true,Not true,Not true,Somewhat true,Not true,Not true,650764c3a197814ab15f8237,667c908a3119f6377830c837,6675e9e612bd2a2af68bed70,24,1,1
2024-06-26 17:05:51,2024-06-26 17:13:14,IP Address,73.182.156.206,100,442,True,2024-06-26 17:13:15,R_77NlgPVbzHOUZ0w,,,,,41.3908,-73.4483,anonymous,EN,664b71a3262dbd9a15f8717c,Yes,No,"Yes, I give consent",30,High School,Male,,"Less than $20,000",Nat. Amer.,,Hispanic,Never,Sometimes,Never,Never,Sometimes,Frequently,Sometimes,Never,Frequently,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never,Frequently,Never,Sometimes,Never,Never,Never,Frequently,Never,Frequently,,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Frequently,Sometimes,none,I am left-handed.,,,i have not,Somewhat true,Certainly true,Somewhat true,Not true,Somewhat true,Somewhat true,Not true,664b71a3262dbd9a15f8717c,667c90b4d0c7d5b24027bbf9,6675e9e612bd2a2af68bed70,71,1,1
2024-06-26 17:10:30,2024-06-26 17:14:54,IP Address,74.89.104.94,100,263,True,2024-06-26 17:14:55,R_7FgCyYG41Kp8jGl,,,,,40.873,-73.8233,anonymous,EN,6636562df54f0f1dd32dc3b7,Yes,No,"Yes, I give consent",20,High School,Female,,"$40,001 - $75,000",Asian,,non-Hispanic,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Frequently,Never,Never,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,,Always,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Frequently,"Reward systems usually worked for me, knowing I could do a task I liked after",I am right-handed.,"Attention Deficit Hyperactivity Disorder (ADHD), or ADD",,"2022, July",Not true,Somewhat true,Not true,Not true,Certainly true,Not true,Not true,6636562df54f0f1dd32dc3b7,667c91cc2c7acdb8859ac1a7,6675e9e612bd2a2af68bed70,85,1,1
2024-06-26 17:07:46,2024-06-26 17:16:28,IP Address,142.129.180.49,100,522,True,2024-06-26 17:16:29,R_516CjzpwvGTpBa3,,,,,34.067,-117.7729,anonymous,EN,656e8a2635854adf1b4ccc90,Yes,No,"Yes, I give consent",49,Bachelor,Female,,"$20,001 - $40,000",White,,non-Hispanic,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,Frequently,Sometimes,Frequently,,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,,I am right-handed.,Other,No,,Somewhat true,Somewhat true,Not true,Not true,Not true,Not true,Not true,656e8a2635854adf1b4ccc90,667c9127cca5f6823423c09d,6675e9e612bd2a2af68bed70,52,1,1
2024-06-26 17:16:14,2024-06-26 17:16:49,IP Address,98.161.250.169,100,34,True,2024-06-26 17:16:49,R_6yp3onMA1qN2WM9,,,,,33.4294,-112.3896,anonymous,EN,663602a2fb9b27793b6fd504,Yes,"No, but I identify as being on the autism spectrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663602a2fb9b27793b6fd504,667c931ac382a0e3caee3ba9,6675e9e612bd2a2af68bed70,,,
2024-06-26 17:13:49,2024-06-26 17:19:22,IP Address,108.147.103.29,100,333,True,2024-06-26 17:19:22,R_6qdj2PK8CvohPLj,,,,,39.0452,-94.7189,anonymous,EN,661173e9259b00a0930dd1d8,Yes,No,"Yes, I give consent",19,High School,Male,,"$20,001 - $40,000",Nat. Amer.,,non-Hispanic,Never,Never,Never,Always,Always,Always,Sometimes,Sometimes,Frequently,Frequently,Never,Never,Sometimes,Never,Frequently,Always,Always,Frequently,Sometimes,Frequently,Always,Frequently,Frequently,Frequently,Never,Always,Sometimes,Always,Always,Always,I have not. Only because I have not had the opportunity.,Frequently,Never,Sometimes,Always,Always,Frequently,Always,Always,Sometimes,Always,Not really,I am right-handed.,,,,Certainly true,Certainly true,Not true,Somewhat true,Certainly true,Certainly true,Not true,661173e9259b00a0930dd1d8,667c929507f51cac7f6ff89d,6675e9e612bd2a2af68bed70,126,1,1
2024-06-26 17:06:43,2024-06-26 17:22:56,IP Address,63.134.186.84,100,972,True,2024-06-26 17:22:56,R_5Ny72Jc6RCikocS,,,,,39.4057,-87.4026,anonymous,EN,6064e78b13bf665d31f0cfd0,Yes,No,"Yes, I give consent",25,High School,Female,,"$75,001 - $150,000",Nat. Amer.,,non-Hispanic,Sometimes,Sometimes,Never,Always,Sometimes,Frequently,Always,Always,Frequently,Frequently,Frequently,Never,Sometimes,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Always,Frequently,Frequently,Never,Always,Sometimes,Sometimes,Always,Always,Frequently,,Always,Frequently,Frequently,Sometimes,Frequently,Frequently,Frequently,Always,Sometimes,Frequently,"I always try to give my self more space/time for errors. So if I know I need to be somewhere by a certain time ill leave way earlier than needed. If I'm parking my car somewhere, I park it further away where less people are.",I am right-handed.,Other,no,,Certainly true,Certainly true,Somewhat true,Somewhat true,Somewhat true,Somewhat true,Somewhat true,6064e78b13bf665d31f0cfd0,667c90e7827314cd6f7010ed,6675e9e612bd2a2af68bed70,100,1,1
2024-06-26 17:16:26,2024-06-26 17:23:19,IP Address,68.106.86.233,100,412,True,2024-06-26 17:23:19,R_7CJYHGbwqEF3BQw,,,,,37.3053,-79.9252,anonymous,EN,5ddc3d39fce606ba6f9e1fa4,Yes,No,"Yes, I give consent",36,Bachelor,Female,,"$20,001 - $40,000",Nat. Amer.,,non-Hispanic,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,I don't drive because it gives me a ton of anxiety.,Always,Always,Sometimes,Never,Never,Never,Sometimes,Frequently,Sometimes,Frequently,"No, I can't think of anything.",I am right-handed.,,,,Certainly true,Certainly true,Somewhat true,Somewhat true,Somewhat true,Certainly true,Somewhat true,5ddc3d39fce606ba6f9e1fa4,667c93302b05c310abc29d1d,6675e9e612bd2a2af68bed70,149,1,1
2024-06-26 17:17:03,2024-06-26 17:24:41,IP Address,71.45.120.23,100,457,True,2024-06-26 17:24:41,R_7sYnrMMSAIUXybT,,,,,33.6454,-86.7014,anonymous,EN,6595e274f7b6de4e5b0dff02,Yes,No,"Yes, I give consent",21,Some college,Female,,"Less than $20,000",White,,non-Hispanic,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Frequently,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,"Writing down particular things as a reminder or to keep on track. ",I am right-handed.,,,,Somewhat true,Somewhat true,Not true,Not true,Somewhat true,Somewhat true,Not true,6595e274f7b6de4e5b0dff02,667c934d1918a8cf12b1d02c,6675e9e612bd2a2af68bed70,82,1,1
2024-06-26 17:26:10,2024-06-26 17:27:52,IP Address,76.171.233.214,100,102,True,2024-06-26 17:27:53,R_3ptYycEl05UMMQc,,,,,33.9168,-118.3432,anonymous,EN,6636a3622255b3fd09ce0998,Yes,"No, but I identify as being on the autism spectrum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6636a3622255b3fd09ce0998,667c9565c553fbb4b22a0d8b,6675e9e612bd2a2af68bed70,,,
